Id,In_Degree,Out_Degree,Degree,year_copy,Case_ID
489,19,40,59,1977,"[433, 119]"
490,16,5,21,1897,"[168, 250]"
491,0,1,1,1904,"[196, 38]"
492,4,5,9,1933,"[288, 415]"
493,6,26,32,1945,"[326, 371]"
494,0,0,0,1968,"[392, 663]"
495,5,6,11,1967,"[387, 202]"
496,7,38,45,1988,"[485, 535]"
497,4,3,7,1899,"[174, 373]"
498,9,1,10,1987,"[482, 386]"
501,6,2,8,1887,"[122, 97]"
502,2,0,2,1912,"[223, 200]"
503,1,1,2,1925,"[267, 185]"
504,0,0,0,1960,"[362, 144]"
505,10,15,25,1930,"[281, 449]"
506,15,58,73,1980,"[447, 264]"
507,0,0,0,2015,"[575, 1019]"
508,2,22,24,1952,"[343, 118]"
509,23,22,45,1942,"[316, 572]"
510,0,0,0,1935,"[296, 631]"
511,1,31,32,1934,"[292, 106]"
512,4,8,12,1945,"[326, 219]"
513,1,0,1,1902,"[186, 153]"
515,2,1,3,1886,"[117, 347]"
516,10,22,32,1932,"[286, 397]"
517,313,0,313,1897,"[165, 1]"
519,1,3,4,1896,"[163, 319]"
521,0,0,0,1969,"[395, 830]"
524,1,4,5,1902,"[186, 168]"
525,0,0,0,2015,"[575, 896]"
526,4,24,28,1970,"[398, 306]"
527,206,0,206,1895,"[160, 1]"
528,14,38,52,2000,"[529, 803]"
529,1,0,1,1968,"[390, 340]"
530,0,0,0,1976,"[424, 1309]"
531,3,9,12,1909,"[215, 56]"
532,12,19,31,1933,"[289, 620]"
533,0,0,0,1958,"[357, 218]"
534,24,80,104,1984,"[467, 947]"
535,3,2,5,1919,"[248, 377]"
536,1,0,1,1912,"[223, 65]"
537,2,0,2,1961,"[368, 813]"
538,0,0,0,1926,"[271, 121]"
539,9,6,15,1938,"[304, 257]"
540,14,14,28,1897,"[166, 150]"
542,0,0,0,1978,"[439, 970]"
543,1,12,13,1949,"[336, 806]"
544,2,14,16,1982,"[455, 16]"
545,5,8,13,1985,"[469, 105]"
548,8,6,14,1893,"[150, 202]"
549,6,38,44,1962,"[369, 643]"
551,10,25,35,1973,"[412, 291]"
552,2,8,10,1971,"[401, 481]"
554,8,39,47,1977,"[430, 73]"
555,43,32,75,1969,"[395, 337]"
556,8,7,15,1980,"[446, 754]"
557,2,1,3,1916,"[240, 430]"
558,2,4,6,1939,"[307, 588]"
559,3,16,19,1937,"[302, 46]"
560,4,3,7,1919,"[250, 549]"
561,1,1,2,1913,"[227, 382]"
563,20,21,41,1983,"[461, 458]"
565,2,0,2,1914,"[231, 652]"
566,9,2,11,1903,"[189, 391]"
569,4,28,32,1957,"[354, 156]"
570,1,1,2,1931,"[283, 121]"
571,17,18,35,1964,"[379, 203]"
572,3,2,5,1911,"[221, 452]"
573,3,17,20,1956,"[350, 383]"
574,1,2,3,1905,"[198, 508]"
575,10,10,20,1915,"[237, 220]"
576,2,5,7,1925,"[267, 276]"
577,2,0,2,1956,"[350, 495]"
578,0,4,4,1897,"[166, 533]"
580,225,6,231,1909,"[213, 1]"
581,1,0,1,1967,"[388, 448]"
582,9,32,41,1992,"[504, 229]"
585,15,7,22,1940,"[311, 223]"
586,32,23,55,1896,"[162, 565]"
587,0,0,0,1983,"[461, 948]"
588,0,10,10,1917,"[245, 102]"
589,14,0,14,1974,"[414, 538]"
591,6,5,11,1969,"[395, 642]"
592,15,11,26,1920,"[253, 350]"
593,2,16,18,1951,"[341, 412]"
594,3,2,5,1898,"[170, 408]"
596,0,0,0,1950,"[340, 845]"
598,1,3,4,1903,"[191, 334]"
599,0,29,29,2011,"[563, 893]"
600,30,24,54,1897,"[165, 58]"
601,7,20,27,1897,"[165, 413]"
602,158,72,230,1964,"[376, 254]"
603,0,1,1,1926,"[271, 629]"
604,13,16,29,1950,"[338, 537]"
605,8,17,25,1896,"[164, 526]"
607,0,0,0,1969,"[394, 1015]"
608,3,21,24,1992,"[503, 347]"
609,1,10,11,1932,"[285, 228]"
610,1,2,3,1955,"[348, 254]"
611,9,0,9,1921,"[257, 265]"
612,0,0,0,1964,"[377, 124]"
613,15,21,36,1968,"[391, 543]"
614,9,23,32,1926,"[270, 69]"
615,19,12,31,1964,"[375, 335]"
616,11,19,30,1924,"[265, 86]"
617,2,30,32,1905,"[197, 70]"
618,0,0,0,1964,"[376, 782]"
620,0,0,0,2012,"[566, 1024]"
621,0,0,0,1972,"[409, 56]"
624,0,6,6,1987,"[483, 1301]"
625,4,3,7,1955,"[349, 219]"
628,4,3,7,1918,"[246, 110]"
629,26,67,93,1982,"[458, 613]"
631,6,41,47,1924,"[263, 583]"
632,3,3,6,1986,"[479, 1312]"
633,3,26,29,1938,"[304, 486]"
634,0,3,3,1999,"[527, 885]"
636,1,16,17,1963,"[375, 208]"
637,7,29,36,1929,"[279, 253]"
638,0,0,0,1970,"[399, 526]"
639,0,0,0,1986,"[475, 1034]"
640,8,15,23,1918,"[246, 533]"
641,1,2,3,1886,"[118, 73]"
642,3,2,5,1892,"[146, 515]"
643,4,29,33,1988,"[488, 105]"
644,9,17,26,1889,"[132, 313]"
647,8,14,22,2006,"[546, 481]"
648,2,0,2,1884,"[111, 293]"
649,3,8,11,1900,"[179, 262]"
650,7,8,15,1900,"[177, 496]"
651,2,7,9,1891,"[138, 313]"
652,256,17,273,1973,"[413, 1]"
653,0,2,2,1914,"[235, 211]"
654,3,1,4,1894,"[152, 77]"
655,0,15,15,1985,"[471, 453]"
656,12,8,20,1931,"[282, 499]"
657,0,1,1,1920,"[253, 101]"
660,4,0,4,1882,"[106, 458]"
661,35,11,46,1892,"[144, 47]"
662,0,7,7,1904,"[192, 168]"
663,6,8,14,1931,"[283, 353]"
664,1,0,1,1985,"[474, 971]"
665,2,6,8,1968,"[392, 571]"
666,1,3,4,1909,"[214, 82]"
668,4,22,26,2007,"[549, 118]"
669,1,0,1,1887,"[120, 506]"
670,21,16,37,1909,"[213, 223]"
671,2,0,2,1970,"[400, 932]"
672,3,3,6,1903,"[189, 25]"
676,9,18,27,1977,"[431, 563]"
677,12,20,32,1977,"[432, 63]"
678,0,0,0,1965,"[382, 160]"
679,14,16,30,1927,"[273, 70]"
681,13,14,27,1890,"[137, 280]"
682,2,2,4,1894,"[151, 105]"
683,19,12,31,1980,"[446, 578]"
685,23,33,56,1931,"[283, 527]"
686,6,0,6,1933,"[287, 470]"
688,8,7,15,1939,"[307, 171]"
689,20,23,43,2003,"[539, 1]"
690,6,5,11,1909,"[213, 453]"
692,0,0,0,1888,"[127, 67]"
694,11,9,20,1922,"[260, 212]"
697,0,0,0,1963,"[372, 526]"
699,32,2,34,1915,"[238, 347]"
701,0,0,0,1961,"[368, 14]"
702,33,20,53,1967,"[388, 14]"
703,1,1,2,1928,"[276, 305]"
704,1,0,1,1960,"[361, 951]"
705,0,0,0,1968,"[393, 220]"
706,44,29,73,1948,"[333, 203]"
707,1,0,1,1904,"[192, 386]"
708,0,0,0,1981,"[454, 1041]"
709,8,8,16,1895,"[158, 68]"
710,8,0,8,1924,"[266, 321]"
711,19,12,31,1965,"[380, 685]"
713,0,0,0,1968,"[392, 643]"
715,51,105,156,1931,"[283, 589]"
717,5,29,34,2008,"[552, 130]"
718,1,0,1,1915,"[239, 11]"
719,72,7,79,1886,"[118, 375]"
723,2,5,7,1898,"[169, 353]"
724,0,1,1,1888,"[127, 125]"
725,2,16,18,1918,"[246, 276]"
726,13,46,59,1960,"[362, 539]"
727,40,16,56,1911,"[220, 373]"
729,0,1,1,1884,"[110, 385]"
730,0,0,0,2013,"[571, 1217]"
731,3,3,6,1926,"[270, 4]"
732,0,0,0,1975,"[421, 954]"
733,1,0,1,1979,"[441, 913]"
735,367,42,409,1971,"[401, 1]"
736,7,8,15,1991,"[501, 312]"
737,13,5,18,1895,"[156, 185]"
738,19,5,24,1915,"[239, 441]"
739,57,9,66,1996,"[519, 2]"
740,3,16,19,1939,"[306, 30]"
742,9,8,17,1917,"[244, 300]"
743,3,9,12,1925,"[267, 511]"
744,15,30,45,1925,"[266, 511]"
745,1,0,1,1921,"[257, 37]"
746,5,0,5,1913,"[227, 401]"
747,35,61,96,1968,"[394, 165]"
748,0,2,2,1936,"[297, 381]"
749,1,4,5,1899,"[174, 719]"
750,20,14,34,1979,"[440, 147]"
751,9,44,53,1999,"[527, 666]"
753,0,0,0,1963,"[372, 711]"
754,9,6,15,1912,"[223, 639]"
755,33,0,33,1890,"[137, 202]"
756,1,0,1,1977,"[430, 140]"
757,9,9,18,1947,"[331, 543]"
758,0,0,0,1980,"[449, 1025]"
759,0,0,0,1967,"[386, 684]"
760,0,0,0,1989,"[490, 1052]"
761,4,0,4,1891,"[139, 608]"
762,1,3,4,1967,"[389, 212]"
763,1,1,2,1922,"[260, 12]"
764,4,1,5,1966,"[384, 264]"
766,12,17,29,1897,"[165, 606]"
768,0,5,5,1895,"[159, 415]"
769,22,0,22,1885,"[114, 642]"
770,1,11,12,1938,"[302, 614]"
771,3,3,6,1910,"[217, 502]"
772,1,6,7,1885,"[114, 87]"
773,3,21,24,1937,"[300, 414]"
775,17,29,46,1927,"[274, 564]"
776,3,9,12,1969,"[395, 814]"
777,0,4,4,1957,"[353, 583]"
778,2,6,8,1953,"[345, 117]"
779,24,7,31,1927,"[274, 259]"
781,12,3,15,1905,"[198, 91]"
782,6,0,6,1960,"[364, 281]"
783,6,13,19,1898,"[169, 139]"
784,1,8,9,1974,"[417, 1301]"
785,0,27,27,2011,"[564, 235]"
786,5,20,25,1980,"[445, 253]"
787,0,0,0,1963,"[375, 23]"
789,1,2,3,1927,"[273, 589]"
791,9,31,40,2002,"[535, 467]"
792,3,17,20,1993,"[507, 234]"
793,3,20,23,1993,"[507, 111]"
794,4,107,111,1984,"[465, 367]"
795,3,5,8,1900,"[177, 318]"
796,3,3,6,1893,"[148, 389]"
797,23,21,44,1927,"[273, 52]"
798,0,0,0,1888,"[128, 185]"
800,13,0,13,1884,"[110, 729]"
801,1,2,3,1914,"[232, 598]"
802,3,4,7,1902,"[185, 108]"
803,0,0,0,1969,"[171, 379]"
804,10,5,15,1908,"[211, 70]"
805,1,0,1,1978,"[439, 1034]"
806,0,1,1,1898,"[171, 108]"
808,22,20,42,1947,"[332, 301]"
809,17,8,25,1915,"[236, 439]"
810,2,12,14,1899,"[175, 248]"
813,23,98,121,1984,"[467, 649]"
814,2,2,4,1896,"[160, 646]"
815,4,8,12,1885,"[114, 439]"
816,4,4,8,1917,"[245, 50]"
817,14,5,19,1900,"[175, 648]"
818,18,0,18,1933,"[290, 264]"
820,3,42,45,1983,"[463, 545]"
822,1,2,3,1894,"[152, 499]"
823,7,32,39,1948,"[334, 431]"
824,4,1,5,1916,"[241, 602]"
825,0,0,0,2009,"[555, 261]"
826,6,0,6,1962,"[371, 215]"
827,0,2,2,1986,"[478, 1306]"
828,0,12,12,1939,"[305, 484]"
829,0,0,0,1958,"[358, 206]"
831,0,0,0,1986,"[475, 557]"
832,5,15,20,1942,"[317, 200]"
833,2,7,9,1896,"[160, 426]"
834,0,0,0,1986,"[474, 1087]"
835,0,20,20,2009,"[557, 305]"
836,7,41,48,1935,"[295, 30]"
837,6,55,61,1943,"[319, 448]"
840,28,11,39,1954,"[348, 11]"
842,33,13,46,1883,"[107, 711]"
843,16,18,34,1937,"[302, 211]"
844,3,14,17,1967,"[388, 431]"
845,12,1,13,1907,"[207, 338]"
846,17,3,20,1906,"[200, 197]"
848,0,0,0,1945,"[325, 841]"
849,0,0,0,1893,"[150, 128]"
850,4,4,8,1933,"[290, 89]"
851,1,0,1,1900,"[179, 602]"
852,15,0,15,1985,"[470, 392]"
854,5,13,18,1935,"[295, 647]"
855,3,18,21,2002,"[536, 822]"
856,0,1,1,1889,"[129, 176]"
857,1,0,1,1922,"[258, 65]"
858,11,26,37,1978,"[437, 535]"
859,0,14,14,1938,"[302, 445]"
861,0,0,0,1967,"[385, 456]"
862,2,31,33,1981,"[451, 401]"
863,18,6,24,1925,"[268, 161]"
864,3,2,5,1886,"[117, 519]"
866,0,1,1,1889,"[129, 372]"
867,7,0,7,1939,"[306, 573]"
868,0,0,0,1891,"[140, 183]"
869,10,21,31,1913,"[230, 126]"
870,14,4,18,1885,"[114, 52]"
871,11,0,11,1988,"[484, 219]"
872,10,8,18,1919,"[250, 88]"
873,67,14,81,1919,"[249, 47]"
876,14,45,59,1950,"[340, 147]"
877,3,14,17,1994,"[510, 317]"
879,10,0,10,1884,"[111, 676]"
880,12,68,80,1971,"[401, 154]"
881,23,25,48,1931,"[284, 8]"
883,0,0,0,1964,"[376, 513]"
